Theta [deg],dB(GainPhi) [] - Freq='60GHz' Phi='0deg',dB(GainPhi) [] - Freq='60GHz' Phi='90deg',dB(GainTheta) [] - Freq='60GHz' Phi='0deg',dB(GainTheta) [] - Freq='60GHz' Phi='90deg'
81,-54.45716326,-5.993067511,-3.658224552,-18.39962674
82,-54.36826395,-6.26559497,-3.87748117,-18.53370474
83,-54.2843823,-6.538352079,-4.095015875,-18.66893149
84,-54.20541126,-6.811245567,-4.310600385,-18.80524382
85,-54.13126664,-7.084178457,-4.523998169,-18.94258656
86,-54.06188638,-7.357049735,-4.73496403,-19.08091328
87,-53.99723007,-7.629754029,-4.943243763,-19.22018707
88,-53.93727872,-7.902181321,-5.14857395,-19.36038125
89,-53.88203479,-8.174216716,-5.350681911,-19.50148009
90,-53.83152252,-8.445740276,-5.549285893,-19.64347942
91,-53.78578852,-8.716626966,-5.744095529,-19.7863872
92,-53.74490266,-8.986746717,-5.934812648,-19.93022402
93,-53.70895924,-9.255964671,-6.121132481,-20.0750234
94,-53.67807847,-9.524141622,-6.302745345,-20.22083206
95,-53.65240823,-9.791134706,-6.479338837,-20.36770998
96,-53.63212612,-10.05679839,-6.650600602,-20.51573022
97,-53.61744189,-10.32098578,-6.816221704,-20.66497863
98,-53.60860004,-10.58355035,-6.975900608,-20.81555322
99,-53.60588289,-10.84434806,-7.129347775,-20.96756334
100,-53.60961392,-11.10323994,-7.276290818,-21.12112841
101,-53.6201614,-11.36009518,-7.416480155,-21.27637643
102,-53.63794259,-11.61479472,-7.549695062,-21.43344202
103,-53.66342816,-11.86723536,-7.675749961,-21.59246398
104,-53.69714732,-12.11733434,-7.7945008,-21.75358237
105,-53.73969344,-12.36503434,-7.905851309,-21.916935
106,-53.79173037,-12.610309,-8.009758917,-22.08265326
107,-53.85399974,-12.85316857,-8.10624011,-22.25085719
108,-53.92732924,-13.09366589,-8.195375021,-22.42164974
109,-54.01264236,-13.33190235,-8.277311039,-22.59511008
110,-54.11096975,-13.56803382,-8.352265286,-22.77128585
111,-54.22346283,-13.80227625,-8.420525852,-22.95018432
112,-54.35141007,-14.0349109,-8.482451702,-23.13176218
113,-54.49625685,-14.26628892,-8.538471288,-23.31591415
114,-54.65962984,-14.49683511,-8.589079891,-23.50246005
115,-54.84336722,-14.72705078,-8.634835827,-23.69113064
116,-55.04955652,-14.95751543,-8.676355662,-23.88155209
117,-55.28058256,-15.18888715,-8.714308651,-24.07322953
118,-55.53918878,-15.42190155,-8.749410586,-24.26553001
119,-55.82855653,-15.65736902,-8.782417304,-24.45766563
120,-56.15240904,-15.89617011,-8.814118052,-24.64867785
121,-56.51514958,-16.13924856,-8.845328911,-24.83742455
122,-56.92204785,-16.38760155,-8.876886448,-25.02257162
123,-57.37949618,-16.64226645,-8.909641721,-25.20259159
124,-57.89536845,-16.9043028,-8.944454744,-25.37577196
125,-58.47953477,-17.17476808,-8.982189447,-25.54023627
126,-59.14461915,-17.45468477,-9.023709156,-25.69398058
127,-59.90714849,-17.7449956,-9.069872558,-25.83492747
128,-60.78935695,-18.04650221,-9.121530091,-25.96099818
129,-61.82213317,-18.35978121,-9.179520647,-26.07020141
130,-63.05005231,-18.68506902,-9.244668459,-26.16073468
131,-64.54036702,-19.02210516,-9.317779995,-26.23109113
132,-66.39957596,-19.36992082,-9.39964063,-26.28016237
133,-68.80195802,-19.72655948,-9.491010852,-26.30732661
134,-71.99900034,-20.08871849,-9.592621657,-26.31251149
135,-75.73258786,-20.45131215,-9.705168758,-26.29622402
136,-75.84125394,-20.80698282,-9.829305111,-26.25954339
137,-71.90823813,-21.14563716,-9.96563118,-26.20407796
138,-68.38745365,-21.45416496,-10.11468219,-26.13189217
139,-65.68012326,-21.71659579,-10.27691149,-26.04541256
140,-63.53477216,-21.91501111,-10.45266886,-25.94732378
141,-61.77103959,-22.03144966,-10.64217254,-25.84046496
142,-60.27890209,-22.05071156,-10.84547328,-25.72773511
143,-58.98931739,-21.96341577,-11.06240866,-25.61201324
144,-57.85686547,-21.7682205,-11.29254576,-25.4960964
145,-56.85033303,-21.47223274,-11.53511036,-25.38265596
146,-55.94746106,-21.08941361,-11.78890117,-25.27421104
147,-55.13187939,-20.63771003,-12.05218912,-25.17311662
148,-54.39123598,-20.13604383,-12.32260383,-25.08156362
149,-53.71600902,-19.60201683,-12.5970137,-25.00158799
150,-53.09872545,-19.05062715,-12.87141236,-24.93508657
151,-52.53343118,-18.49385545,-13.14083317,-24.88383742
152,-52.01532212,-17.9408106,-13.39932434,-24.84952333
153,-51.54048128,-17.39814605,-13.64002684,-24.83375727
154,-51.10568746,-16.87055135,-13.85540152,-24.83810937
155,-50.70827368,-16.36121395,-14.0376411,-24.86413511
156,-50.34602059,-15.87220796,-14.17927112,-24.91340494
157,-50.01707523,-15.40480176,-14.27388861,-24.9875358
158,-49.71988826,-14.959692,-14.31692231,-25.08822518
159,-49.45316492,-14.5371772,-14.30625206,-25.21728915
160,-49.21582645,-14.13728437,-14.24252935,-25.37670562
161,-49.0069794,-13.75986016,-14.12910956,-25.56866512
162,-48.82589108,-13.40463591,-13.97161515,-25.7956319
163,-48.67196975,-13.07127374,-13.77724908,-26.06041933
164,-48.54474864,-12.75939882,-13.55402488,-26.36628506
165,-48.44387285,-12.46862193,-13.3100645,-26.71705384
166,-48.3690886,-12.19855492,-13.05305839,-27.11727956
167,-48.32023431,-11.94882125,-12.78991807,-27.57246354
168,-48.29723294,-11.71906292,-12.52660365,-28.08935561
